literature_id,reaction_id,reaction_equation,reaction_type_reversible,notes
PMID32117938,reaction_1,Caffeic acid + S-adenosyl-L-methionine -> Ferulic acid + S-adenosyl-L-homocysteine,Not specified,"Different expression vectors were tested (pACYCduet, pRSFduet, pAC). The pACYCduet_COMT and pRSFduet_COMT constructs led to complete conversion of 1 mM caffeic acid to ferulic acid."
PMID32117938,reaction_2,L-Tyrosine + O2 + NADPH + H+ + S-adenosyl-L-methionine -> Ferulic acid + NH3 + H2O + NADP+ + S-adenosyl-L-homocysteine,Not specified,"This reaction represents Module 1 of the biosynthetic pathway. The highest ferulic acid titer was achieved using a two-plasmid system (pCDFduet_TAL and pRSFduet_C3H_COMT), which was an improvement over three-plasmid systems."
PMID32117938,reaction_3,2 Ferulic acid + Malonyl-CoA + 2 ATP -> Curcumin + 2 AMP + 2 PPi + Coenzyme A + CO2,Not specified,This reaction represents Module 2 of the biosynthetic pathway. The highest curcumin concentration was achieved using a two-plasmid system (pACYCduet_4CL + pRSFduet_CURS1_DCS) and fed-batch addition of ferulic acid.
PMID32117938,reaction_4,2 Caffeic acid + Malonyl-CoA + 2 S-adenosyl-L-methionine + 2 ATP -> Curcumin + 2 S-adenosyl-L-homocysteine + 2 AMP + 2 PPi + Coenzyme A + CO2,Not specified,This experiment tested the second half of the new biosynthetic pathway starting from caffeic acid. The main product was curcumin.
PMID32117938,reaction_5,2 L-Tyrosine + Malonyl-CoA + 2 O2 + 2 NADPH + 2 H+ + 2 S-adenosyl-L-methionine + 2 ATP -> Curcumin + 2 NH3 + 2 H2O + 2 NADP+ + 2 S-adenosyl-L-homocysteine + 2 AMP + 2 PPi + Coenzyme A + CO2,Not specified,This reaction represents the full biosynthetic pathway from tyrosine. The highest total curcuminoid yield (125.8 µM) was from a co-culture system with a 1:1 inoculation ratio. The highest curcumin-specific yield (43.2 µM) was achieved with a 2:1 inoculation ratio (Strain 1:Strain 2). An optimized mono-culture system yielded 16.6 µM of curcumin.
PMID32117944,reaction_1,Methanol + NAD+ -> Formaldehyde + NADH + H+,Not specified,The enzyme is a decamer with a native molecular mass of approximately 420 kDa and a subunit mass of 42.8 kDa. It is an activator-independent Mdh. The KM for NAD+ was determined using ethanol as the substrate.
PMID32117944,reaction_2,Ethanol + NAD+ -> Acetaldehyde + NADH + H+,Not specified,The enzyme is a decamer with a native molecular mass of approximately 420 kDa and a subunit mass of 42.8 kDa. It is an activator-independent Mdh. The KM for NAD+ was determined using ethanol as the substrate.
PMID32117944,reaction_3,n-Propanol + NAD+ -> Propanal + NADH + H+,Not specified,The enzyme is a decamer with a native molecular mass of approximately 420 kDa and a subunit mass of 42.8 kDa. It is an activator-independent Mdh. The KM for NAD+ was determined using ethanol as the substrate.
PMID32117944,reaction_4,Butanol + NAD+ -> Butanal + NADH + H+,Not specified,The enzyme is a decamer with a native molecular mass of approximately 420 kDa and a subunit mass of 42.8 kDa. It is an activator-independent Mdh. The KM for NAD+ was determined using ethanol as the substrate. Kinetic parameters for mutants with butanol were not provided in the tables.
PMID32120232,reaction_1,"Veratryl alcohol + 2,6-dichlorophenol indophenol -> Veratraldehyde + Reduced 2,6-dichlorophenol indophenol",Not specified,The study primarily focused on optimizing the production medium for AAO. The reported activity is for the enzyme produced under optimal fermentation conditions. The greatest volumetric activity achieved was 1021 U/L. One unit of AAO activity was defined as the amount of enzyme that catalyzes the reduction of one micromole of DCPIP per minute.
PMID32123662,reaction_1,2 Farnesyl diphosphate -> Squalene + 2 Diphosphate,Not specified,"The BSS enzyme sequence was codon optimized for expression in Synechocystis. A C-terminal Flag-tag was added for detection, and a putative N-terminal membrane anchoring domain was removed prior to synthesis."
PMID32125480,reaction_1,Menadione hydroquinol + Dimethylallyl diphosphate -> Menaquinone-1 + Diphosphate,Not specified,"The product MK1 was identified by HPLC, LC-MS, and 1H NMR. The substrate menadione hydroquinol is unstable and readily oxidizes in air; assays were performed under nitrogen-protected conditions."
PMID32125648,reaction_1,"5-hydroxymethylfurfural + O2 -> 2,5-diformylfuran + 5-formylfuroic acid",Not specified,"This reaction is the first step in a two-step cascade process to produce FDCA. It is performed without the FAD cofactor, leading to the accumulation of DFF and FFA. The enzyme activity was determined as 0.4 U/mg using vanillin alcohol as a substrate."
PMID32125648,reaction_2,"2,5-diformylfuran + 5-formylfuroic acid + H2O2 + ethyl acetate -> 2,5-furandicarboxylic acid",Not specified,"This reaction is the second step in a cascade process, converting the products of the HMFO reaction (DFF and FFA) into the final product FDCA. The reaction is a Baeyer-Villiger type oxidation where the lipase generates a peracid in situ from ethyl acetate and H2O2. A separate experiment using pure DFF as a substrate resulted in 100% conversion and 85.8% yield of FDCA in 3 hours."
PMID32130469,reaction_1,4-vinylguaiacol + O2 -> vanillin + formaldehyde,Not specified,A model of CSO2 was generated using SWISS-MODEL with PDB 5V2D as a template. The Km for 4-VP was not determined in this study but was reported as 4.1 mM in a previous study. Enzyme concentration in assays was 20 μM.
PMID32130469,reaction_2,Ferulic acid + O2 -> vanillin + CO2 + formaldehyde,Not specified,"This is a two-enzyme cascade reaction. The first step is catalyzed by FDC (Ferulic acid -> 4-vinylguaiacol + CO2) and the second by CSO2. FDC was expressed from pET28a-FDC in E. coli T7 Express. The paper incorrectly lists the GenBank ID for FDC as AJ278683, which corresponds to a feruloyl-CoA synthetase (FCS), a different enzyme class."
PMID32131594,reaction_1,2-OMe + 2-oxoglutarate + O2 -> 3-OMe + succinate + CO2,No,"This is the native substrate. The decay rate of the ferryl intermediate (k2), representing the oxygen atom transfer (OAT) step, was found to be largely insensitive to the electronic nature of the substrate's para-substituent, varying only by a factor of 2-3 across all analogs tested."
PMID32131594,reaction_2,2-H + 2-oxoglutarate + O2 -> 3-H + succinate + CO2,No,"Crystallographic studies with this substrate analog led to the observation of an Fe-alkoxide intermediate (PDB: 6JZM), supporting a stepwise epoxidation mechanism initiated by oxygenation at the C10 (benzylic) position."
PMID32131594,reaction_3,2-F + 2-oxoglutarate + O2 -> 3-F + succinate + CO2,No,"The use of this electron-withdrawing analog demonstrated that the OAT rate (k2) is not significantly decreased, contrary to what would be expected for a mechanism involving a significant positive charge buildup at the benzylic position in the transition state."
PMID32131594,reaction_4,2-CF3 + 2-oxoglutarate + O2 -> 3-CF3 + succinate + CO2,No,"This substrate showed altered kinetics, with a faster formation (k1) and slower decay (k2) of the Fe(IV)=O intermediate. Mössbauer and crystallographic data (PDB: 6KD9, 6K3O) suggest that a fraction of the enzyme-substrate complex is unreactive or reacts slowly, possibly due to a non-optimal binding conformation. The dissociation constant (Kd) for 2-CF3 binding to the Mn(II)-substituted enzyme was determined to be ~0.005 mM."
PMID32133382,reaction_1,H2O2 + NADPH + H+ -> 2 H2O + NADP+,Not specified,"The reaction mixture contained 0.14 µM Thioredoxin reductase, 6.4 µM Thioredoxin, 0.375 mM NADPH, 500 µg/mL rBmTPx-Q protein, and 250 µM H2O2."
PMID32133382,reaction_2,H2O2 + 2 DTT(reduced) -> 2 H2O + DTT(oxidized),Not specified,"Temperature is an estimate based on 'room temperature (RT)'. Conversion rate of approximately 50% was achieved in 10 minutes with 1.5 µg of enzyme, 1 mM initial H2O2, and 5 mM DTT."
PMID32133382,reaction_3,hydroxyl radical + DTT(reduced) -> H2O + DTT(oxidized),Not specified,"The enzyme's activity was observed as the prevention of supercoiled plasmid DNA nicking by hydroxyl radicals generated from FeCl3 and DTT. Protection was concentration-dependent (tested at 250, 500, and 1000 µg/mL)."
PMID32140842,reaction_1,L-threonine + fluoroacetaldehyde <=> 4-fluorothreonine + acetaldehyde,Not specified,"The native protein appeared to be a dimer. The enzyme is a metal-bound (Zn2+) PLP-dependent enzyme. L-serine was found to be a poor substrate, generating a very small amount of 4-fluorothreonine. D-allo-threonine, D-threonine, glycine, alanine, or leucine were not substrates."
PMID32140842,reaction_2,L-threonine + chloroacetaldehyde <=> 4-chlorothreonine + acetaldehyde,Not specified,
PMID32140842,reaction_3,L-threonine + glycolaldehyde <=> 4-hydroxyl-threonine + acetaldehyde,Not specified,
PMID32140842,reaction_4,L-threonine + propanal <=> 4-methyl-threonine + acetaldehyde,Not specified,"The product is named 4-methyl-threonine in the text, but the substrate is propanal, which would form 4-ethyl-threonine. The SMILES corresponds to 4-ethyl-threonine based on the substrate."
PMID32140842,reaction_5,L-threonine + isobutyraldehyde <=> 4-isobutyl-threonine + acetaldehyde,Not specified,
PMID32140842,reaction_6,L-threonine + phenylacetaldehyde <=> 4-phenyl-threonine + acetaldehyde,Not specified,
PMID32140842,reaction_7,L-allo-threonine + fluoroacetaldehyde <=> 4-fluorothreonine + acetaldehyde,Not specified,
PMID32141742,reaction_1,Leucocyanidin + NADPH + H+ -> Catechin + NADP+,Not specified,"Reaction demonstrated in an Arabidopsis ans mutant, which accumulates the substrate leucocyanidin. Overexpression of LcLAR1 led to the production of catechin and catechin-O-glucoside, which were not detected in the parent mutant. A similar result (5-fold increase in catechin) was observed upon overexpression in the native host, Lotus corniculatus."
PMID32141742,reaction_2,EC-type precursor + NADPH + H+ -> Epicatechin + NADP+,Not specified,"Reaction demonstrated by overexpressing LcLAR1 in tobacco. The substrate is an unknown endogenous 'EC-type precursor'. The main product is epicatechin (~8-fold increase), with a smaller increase in catechin (~3-fold). A significant amount of epicatechin-O-glucoside was also formed. A similar result (increased epicatechin and epicatechin-O-glucoside) was observed in wild-type Arabidopsis thaliana."
PMID32144268,reaction_1,S-adenosyl-L-homocysteine + H2O -> L-homocysteine + Adenosine,Not specified,"The enzymatic activity of SAHH was investigated in the context of its regulation by the protein DJ-1. The study found that DJ-1 positively regulates SAHH activity. Overexpression of wild-type DJ-1 increased SAHH activity, while DJ-1 knockdown or knockout decreased it. This regulation is mediated by DJ-1's ability to disrupt the interaction between SAHH and its negative regulator, AHCYL1, thereby promoting the formation of the active SAHH tetramer. The assay measured the production of adenosine fluorometrically. Disease-associated mutants of DJ-1 (M26I, E64D, R98Q, etc.) failed to increase SAHH activity, indicating the proper function of DJ-1 is required for this regulatory effect."
PMID32145238,reaction_1,Thermally Denatured Egg White Protein-Gln + Thermally Denatured Egg White Protein-Lys -> Cross-linked Thermally Denatured Egg White Protein gel + NH3,No,"The study investigated the effect of microbial transglutaminase (0, 10, and 20 U/g protein) on the mechanical and rheological properties of acid-induced gels from thermally denatured egg white protein (TD-EWP). Native EWP was found to not be a substrate for the enzyme. Cross-linking with MTGase significantly increased gel hardness (from 104.5 g for control to 211.4 g for 20 U/g) and fracture stress (from 7.29 kPa for control to 17.69 kPa for 20 U/g), indicating the formation of a stronger, more elastic, covalently cross-linked network."
PMID32145238,reaction_2,Thermally Denatured Egg White Protein-Gln + Thermally Denatured Egg White Protein-Lys -> Cross-linked Thermally Denatured Egg White Protein emulsion gel + NH3,No,"The study investigated the effect of microbial transglutaminase (0, 10, and 20 U/g protein) on the mechanical and rheological properties of acid-induced emulsion gels from TD-EWP and 10% grape seed oil. Cross-linking with MTGase significantly increased emulsion gel hardness (from 110.2 g for control to 225.6 g for 20 U/g) and fracture stress (from 6.51 kPa for control to 18.54 kPa for 20 U/g)."
PMID32146179,reaction_1,​​n Dansyl-Lipid II → (Dansyl-glycan)ₙ + n Undecaprenyl diphosphate,Not specified,The assay uses Dansyl-labeled Lipid II as a substrate and the reaction is quenched by Moenomycin A. Products are analyzed by HPLC using a Supelco SAX1 anion-exchange column.
PMID32146811,crude_1,Campesterol -> Campestanol,Not specified,
PMID32146811,crude_2,Campesterol -> 22-hydroxycampesterol,Not specified,
PMID32146811,crude_3,Campesterol -> 22-hydroxy-campesta-4-en-3-one,Not specified,
PMID32146811,crude_4,campesta-4-en-3-one -> campesta-3-one,Not specified,
PMID32146811,crude_5,campesta-4-en-3-one -> Campestanol,Not specified,
PMID32146811,crude_6,campesta-3-one -> Campestanol,Not specified,
PMID32146811,crude_7,Campestanol -> 6-deoxocathasterone,Not specified,
PMID32146811,crude_8,Campestanol -> 6-deoxoteasterone,Not specified,
PMID32146811,crude_9,6-deoxocathasterone -> 6-deoxoteasterone,Not specified,
PMID32146811,crude_10,6-deoxoteasterone -> 6-deoxo-3-dehydroteasterone,Yes,
PMID32146811,crude_11,6-deoxoteasterone -> Teasterone,Not specified,
PMID32146811,crude_12,Teasterone -> Typhasterol,Yes,
PMID32146811,crude_13,Teasterone -> 3-dehydroteasterone,Yes,
PMID32146811,crude_14,Teasterone -> Castasterone,Not specified,
PMID32146811,crude_15,3-dehydroteasterone -> Teasterone,Yes,
PMID32146811,crude_16,3-dehydroteasterone -> Typhasterol,Yes,
PMID32146811,crude_17,Typhasterol -> 3-dehydroteasterone,Yes,
PMID32146811,crude_18,Typhasterol -> Teasterone,Yes,
PMID32146811,crude_19,Typhasterol -> Castasterone,Not specified,
PMID32146811,crude_20,22-hydroxy-campesta-4-en-3-one -> 22-hydroxy-campesta-3-one,Not specified,
PMID32146811,crude_21,22-hydroxy-campesta-3-one -> 6-deoxo-3-dehydroteasterone,Not specified,
PMID32146811,crude_22,6-deoxo-3-dehydroteasterone -> 6-deoxoteasterone,Yes,
PMID32146811,crude_23,6-deoxo-3-dehydroteasterone -> 6-deoxotyphasterol,Yes,
PMID32146811,crude_24,6-deoxo-3-dehydroteasterone -> 3-dehydroteasterone,Not specified,
PMID32146811,crude_25,6-deoxotyphasterol -> 6-deoxo-3-dehydroteasterone,Yes,
PMID32146811,crude_26,6-deoxotyphasterol -> 6-deoxocastasterone,Not specified,
PMID32146811,crude_27,6-deoxotyphasterol -> Typhasterol,Not specified,
PMID32146811,crude_28,6-deoxocastasterone -> Castasterone,Not specified,
PMID32146811,crude_29,Castasterone -> 26-norcastasterone,Not specified,This is a catabolic reaction (C-26 demethylation).
PMID32146811,crude_30,28-norcastasterone -> Castasterone,Not specified,This reaction represents C24-methylation.
PMID32146811,crude_31,28-homocastasterone -> Castasterone,Not specified,This reaction represents C28-demethylation.
PMID32146811,crude_32,Castasterone -> Brassinolide,No,"Product (Brassinolide) was not detected, indicating no BL synthase activity in the crude extract."
PMID32146811,bddet2_1,campesta-4-en-3-one + NADPH + H+ -> campesta-3-one + NADP+,Not specified,
PMID32146811,bddet2_2,22-hydroxy-campesta-4-en-3-one + NADPH + H+ -> 22-hydroxy-campesta-3-one + NADP+,Not specified,
PMID32146811,bdcyp90b1_1,Campesterol + NADPH + H+ + O2 -> 22-hydroxycampesterol + NADP+ + H2O,Not specified,
PMID32146811,bdcyp90b1_2,Campestanol + NADPH + H+ + O2 -> 6-deoxocathasterone + NADP+ + H2O,Not specified,
PMID32146811,bdcyp90a1_1,22-hydroxycampesterol + NADPH + H+ + O2 -> 22-hydroxy-campesta-4-en-3-one + NADP+ + H2O,Not specified,This enzyme did not catalyze the conversion of Campesterol to campesta-4-en-3-one or Teasterone to 3-dehydroteasterone.
PMID32146811,bdcyp90a1_2,6-deoxocathasterone + NADPH + H+ + O2 -> 22-hydroxy-campesta-3-one + NADP+ + H2O,Not specified,
PMID32146811,bdcyp90a1_3,6-deoxoteasterone + NADPH + H+ + O2 -> 6-deoxo-3-dehydroteasterone + NADP+ + H2O,Not specified,
PMID32146811,bdcyp90d2_1,6-deoxocathasterone + NADPH + H+ + O2 -> 6-deoxoteasterone + NADP+ + H2O,Not specified,
PMID32146811,bdcyp90d2_2,22-hydroxy-campesta-3-one + NADPH + H+ + O2 -> 6-deoxo-3-dehydroteasterone + NADP+ + H2O,Not specified,
PMID32146811,bdcyp90d2_3,3-epi-6-deoxoCT + NADPH + H+ + O2 -> 6-deoxotyphasterol + NADP+ + H2O,Not specified,
PMID32146811,bdcyp85a1_ecoli_1,6-deoxoteasterone + NADPH + H+ + O2 -> Teasterone + NADP+ + H2O,Not specified,
PMID32146811,bdcyp85a1_ecoli_2,6-deoxo-3-dehydroteasterone + NADPH + H+ + O2 -> 3-dehydroteasterone + NADP+ + H2O,Not specified,
PMID32146811,bdcyp85a1_ecoli_3,6-deoxotyphasterol + NADPH + H+ + O2 -> Typhasterol + NADP+ + H2O,Not specified,
PMID32146811,bdcyp85a1_ecoli_4,6-deoxocastasterone + NADPH + H+ + O2 -> Castasterone + NADP+ + H2O,Not specified,
PMID32146811,bdcyp85a1_yeast_1,6-deoxocastasterone -> Castasterone,Not specified,
PMID32146811,bdcyp85a1_yeast_2,Castasterone -> Brassinolide,No,"Product (Brassinolide) was not detected, demonstrating that BdCYP85A1 does not have BL synthase activity."
PMID32146930,reaction_1,Sucrose + Luteolin -> Luteolin-4'-O-α-D-glucopyranoside + Fructose,Not specified,The transglucosylation activity of cDGAS was approximately 10% higher than that of eDGAS. The enzyme was purified using Ni-NTA affinity chromatography.
PMID32146930,reaction_2,Sucrose + Luteolin -> Luteolin-4'-O-α-D-glucopyranoside + Fructose,Not specified,Used as a reference enzyme. Reaction conditions were matched to cDGAS optimal conditions for direct comparison of transglucosylation activity.
PMID32146930,reaction_3,"n Sucrose -> (α-1,4-glucan)n + n Fructose",Not specified,"Polymerization activity was found to be slightly lower than eDGAS, as indicated by a larger amount of soluble maltooligosaccharides detected by HPAEC."
PMID32146930,reaction_4,"n Sucrose -> (α-1,4-glucan)n + n Fructose",Not specified,Used as a reference enzyme. Optimal temperature for activity was 5°C higher than for cDGAS. Showed slightly higher polymerization activity than cDGAS.
PMID32149287,reaction_1,human tyrosyl tRNA(Guanine-34) + Queuine -> human tyrosyl tRNA(Queuine-34) + Guanine,No,"The reaction is triggered by the presence of queuine; no reaction occurs in its absence. Initial velocity studies (v vs. [queuine]) show a sigmoidal plot, indicative of positive cooperative binding. Equilibrium dialysis experiments with His-tagged enzyme confirmed this, showing a convex binding plot for queuine and that the enzyme binds approximately twice as much queuine as guanine under saturating conditions (93% vs 48% at 4 mM)."
PMID32149287,reaction_2,human tyrosyl tRNA(Guanine-34) + Guanine' -> human tyrosyl tRNA(Guanine'-34) + Guanine,Yes,"Initial velocity studies with varying substrate concentrations (guanine: 0.1–0.4 mM; tRNA: 1–4 mM) were performed to determine the kinetic mechanism. The resulting double reciprocal plots and secondary plots are consistent with an ordered sequential bi-bi mechanism, where guanine binds to the enzyme first, followed by tRNA. Unlike with queuine, the reaction exhibits standard Michaelis-Menten kinetics."
PMID32149287,reaction_3,"human tyrosyl tRNA(Guanine-34) + TGT -> TGT-tRNA(Tyr, ribosyl-34) + Guanine",Not specified,"This reaction represents the first half of the catalytic cycle, which was trapped using the guanine mimic 9-deazaguanine (16). 9-deazaguanine triggers the excision of guanine and formation of the covalent enzyme-tRNA intermediate but cannot complete the base-exchange reaction. The intermediate was detected as a new band 25 kDa heavier than TGT on an SDS-PAGE gel. The intermediate could be resolved back to free enzyme by treatment with NaOH or queuine."
PMID32152525,reaction_1,trans-2-decenoyl-CoA + NADH + H+ → decanoyl-CoA + NAD+,Not specified,The study evaluated the inhibitory effect of several KES4 derivatives on recombinant mtInhA. The remaining enzyme activity was measured after 1 minute of preincubation with 50 µM of the compound. The reaction was initiated by adding 200 µM trans-2-decenoyl-CoA and followed for 5 minutes.
PMID32153057,reaction_1,Creatine phosphate + ADP <=> Creatine + ATP,Yes,"The study investigated the effect of lansoprazole on seminal creatine kinase activity. No significant change in activity was found at a concentration of 3 µg/ml after a 1-hour incubation period (p = .8113). Activity was measured using a coupled assay with hexokinase and glucose-6-phosphate dehydrogenase, monitoring NADPH formation at 340 nm. The text states the reaction is reversible: 'It catalyses the phosphorylation of creatine to form creatine phosphate and vice versa.' The assay measured the production of ATP, which corresponds to the reaction: Creatine phosphate + ADP -> Creatine + ATP."
PMID32153807,reaction_1,3-hydroxy-3-methylglutaryl-CoA + 2 NADPH + 2 H+ -> (R)-Mevalonate + 2 NADP+ + Coenzyme A,Not specified,"The study investigated the inhibitory effect of orally administered aqueous extract of Spirulina platensis on the plasmatic HMG CoA reductase activity in Wistar rats. A dose-dependent inhibition was observed in both male and female rats. At the highest dose (1000 mg/kg), the activity was reduced to 0.02 ± 0.000 UI/mg protein in males and 0.50 ± 0.000 UI/mg protein in females, compared to controls."
PMID32153807,reaction_2,Lecithin + Cholesterol -> Cholesteryl ester + Lysolecithin,Not specified,"The study investigated the effect of orally administered aqueous extract of Spirulina platensis on the plasmatic LCAT activity in Wistar rats. The extract was found to activate LCAT, with the highest activity observed at a dose of 250 mg/kg body weight in both male and female rats, although the increase was not statistically significant. Activity was measured by a fluorometric assay as the ratio of emission at 470 nm to 390 nm."
PMID32154242,reaction_1,"Acetoin + NADH + H+ -> 2,3-butanediol + NAD+",Yes,Activity was assayed by measuring the oxidation of NADH at 340 nm. Substrate concentration was 5 mM acetoin.
PMID32154242,reaction_2,Diacetyl + NADH + H+ -> Acetoin + NAD+,Not specified,Activity was assayed by measuring the oxidation of NADH at 340 nm. Substrate concentration was 5 mM diacetyl.
PMID32154242,reaction_3,"(2R,3R)-2,3-butanediol + NAD+ -> Acetoin + NADH + H+",Yes,"Activity was assayed by measuring the reduction of NAD+ at 340 nm. Substrate concentration was 10 mM (2R,3R)-2,3-butanediol."
PMID32154242,reaction_4,"meso-2,3-butanediol + NAD+ -> Acetoin + NADH + H+",Yes,"Activity was assayed by measuring the reduction of NAD+ at 340 nm. Substrate concentration was 10 mM meso-2,3-butanediol."
PMID32154242,reaction_5,"(2S,3S)-2,3-butanediol + NAD+ -> Acetoin + NADH + H+",Yes,"Activity was assayed by measuring the reduction of NAD+ at 340 nm. Substrate concentration was 10 mM (2S,3S)-2,3-butanediol."
PMID32154242,reaction_6,Glucose -> Acetoin + 2 CO2,No,"Fed-batch fermentation using the engineered strain B. licheniformis MW3 (ΔbudCΔgdh) produced 64.2 g/L acetoin from a total of 156 g/L glucose consumed in 27 h. The yield of 0.412 g/g glucose represents 84.1% of the theoretical maximum. The wild-type strain produces 2,3-butanediol as its major product."
PMID32154242,reaction_7,Glucose -> Acetoin + 2 CO2,No,Batch fermentation using the engineered strain B. licheniformis MW3 (ΔbudCΔgdh) produced 27.4 ± 1.45 g/L acetoin from 63 ± 1 g/L glucose in 14 h.
PMID32155529,reaction_1_in_vitro,Biotin-H3K4me3 peptide + 2-oxoglutarate + O2 → Biotin-H3K4me(2/1) peptide + Succinate + CO2,No,"The assay measures the inhibition of KDM5B-mediated demethylation of a biotinylated H3K4me3 peptide. The enzyme is a 2-oxoglutarate and Fe(II)-dependent oxygenase. The lead inhibitor, compound 27ab (1-(4-methoxyphenyl)-N-(2-methyl-2-morpholinopropyl)-3-phenyl-1H-pyrazole-4-carboxamide), was tested for selectivity against other lysine demethylases, yielding the following IC50 values: KDM4A (0.9542 ± 0.0231 µM), KDM4C (1.1125 ± 0.0301 µM), KDM5A (0.0249 ± 0.0011 µM), KDM5C (0.0248 ± 0.0019 µM), KDM6A (> 1 µM), and KDM6B (> 1 µM)."
PMID32155529,reaction_2_in_cellulo,Histone H3 (trimethylated K4) + 2-oxoglutarate + O2 → Histone H3 (dimethylated K4) + Succinate + CO2,No,"The reaction was investigated in MKN45 cells. Inhibition of KDM5B by compound 27ab led to the accumulation of its substrates, H3K4me2 and H3K4me3, confirming cellular activity. The inhibitor showed selectivity, as levels of H3K4me1, H3K9me2/3, and H3K27me2 were unchanged."
PMID32156771,reaction_1,Hydroxypyruvate + NADH + H+ -> Glycerate + NAD+,Not specified,"The phospho-mimetic T335D mutation decreased the kcat by almost 50% compared to wild-type, indicating reduced efficiency with NADH for hydroxypyruvate reduction."
PMID32156771,reaction_2,Hydroxypyruvate + NADPH + H+ -> Glycerate + NADP+,Not specified,"The phospho-mimetic T335D mutation increased kcat by 35% and decreased Km for both substrates, indicating a shift in cofactor preference towards NADPH for hydroxypyruvate reduction."
PMID32156771,reaction_3,Glyoxylate + NADH + H+ -> Glycolate + NAD+,Not specified,"The phospho-mimetic T335D mutation increased kcat by 30% and decreased Km for both substrates, improving the efficiency of NADH-dependent glyoxylate reduction."
PMID32156771,reaction_4,Glyoxylate + NADPH + H+ -> Glycolate + NADP+,Not specified,"The phospho-mimetic T335D mutation increased kcat by 58% and decreased Km for NADPH, improving the efficiency of NADPH-dependent glyoxylate reduction."
PMID32156808,reaction_1,p-Nitrophenyl hexanoate + H2O -> p-Nitrophenol + Hexanoic acid,Not specified,"This reaction showed the maximum activity among various p-nitrophenyl esters tested (C2 to C16). The assay was developed as a rapid, colorimetric screen for OleA activity. The reaction involves transesterification to the active site cysteine (C143) followed by hydrolysis. Control experiments with other thiolases, FabH from E. coli and Pks13 from Mycobacterium tuberculosis, showed no discernible reactivity with p-nitrophenyl hexanoate."
PMID32156808,reaction_2,p-Nitrophenyl hexanoate + H2O -> p-Nitrophenol + Hexanoic acid,Not specified,"This reaction was used to screen 74 putative OleA homologs for activity. The OleA from Kytococcus sedentarius showed the highest activity. In total, 25 homologs were identified as active. Activity was quantified as log10(nmol pNP / OD 1.0 / hour)."
PMID32156808,reaction_3,2 Decanoyl-CoA -> 2-Octyl-3-oxododecanoyl-CoA + Coenzyme A,Not specified,"Physiological Claisen condensation reaction. Activity was confirmed qualitatively by GC-MS. This enzyme also showed activity with C12, C14, and C16 acyl-CoA substrates."
PMID32156808,reaction_4,2 Dodecanoyl-CoA -> 2-Decyl-3-oxotetradecanoyl-CoA + Coenzyme A,Not specified,Physiological Claisen condensation reaction. Activity was confirmed qualitatively by GC-MS.
PMID32156808,reaction_5,2 Tetradecanoyl-CoA -> 2-Dodecyl-3-oxohexadecanoyl-CoA + Coenzyme A,Not specified,Physiological Claisen condensation reaction. Activity was confirmed qualitatively by GC-MS.
PMID32156808,reaction_6,2 Hexadecanoyl-CoA -> 2-Tetradecyl-3-oxooctadecanoyl-CoA + Coenzyme A,Not specified,Physiological Claisen condensation reaction. Activity was confirmed qualitatively by GC-MS.
PMID32156808,reaction_7,2 Decanoyl-CoA -> 2-Octyl-3-oxododecanoyl-CoA + Coenzyme A,Not specified,This enzyme was purified and tested for physiological Claisen condensation activity. It also showed activity with C12 and C14 acyl-CoA substrates.
PMID32156808,reaction_8,2 Dodecanoyl-CoA -> 2-Decyl-3-oxotetradecanoyl-CoA + Coenzyme A,Not specified,Physiological Claisen condensation reaction. Activity was confirmed qualitatively by GC-MS.
PMID32156808,reaction_9,2 Tetradecanoyl-CoA -> 2-Dodecyl-3-oxohexadecanoyl-CoA + Coenzyme A,Not specified,Physiological Claisen condensation reaction. Activity was confirmed qualitatively by GC-MS.
PMID32156808,reaction_10,2 Decanoyl-CoA -> 2-Octyl-3-oxododecanoyl-CoA + Coenzyme A,Not specified,This enzyme was purified and tested for physiological Claisen condensation activity. It only showed activity with C10 acyl-CoA among the tested substrates (C8-C16).
PMID32156808,reaction_11,2 Decanoyl-CoA -> 2-Octyl-3-oxododecanoyl-CoA + Coenzyme A,Not specified,"This enzyme was purified and tested for physiological Claisen condensation activity. It also showed activity with C12, C14, and C16 acyl-CoA substrates, similar to the Xanthomonas enzyme."
PMID32156808,reaction_12,2 Dodecanoyl-CoA -> 2-Decyl-3-oxotetradecanoyl-CoA + Coenzyme A,Not specified,Physiological Claisen condensation reaction. Activity was confirmed qualitatively by GC-MS.
PMID32156808,reaction_13,2 Tetradecanoyl-CoA -> 2-Dodecyl-3-oxohexadecanoyl-CoA + Coenzyme A,Not specified,Physiological Claisen condensation reaction. Activity was confirmed qualitatively by GC-MS.
PMID32156808,reaction_14,2 Hexadecanoyl-CoA -> 2-Tetradecyl-3-oxooctadecanoyl-CoA + Coenzyme A,Not specified,Physiological Claisen condensation reaction. Activity was confirmed qualitatively by GC-MS.
PMID32158501,reaction_1,Phosphoric acid-swollen cellulose + O2 + 2 Ascorbate -> C4-oxidized cellulose + 2 Dehydroascorbate + 2 H2O,No,"The reaction rate was found to be dependent on the ascorbate concentration (tested from 0.5 to 6 mM), which is proposed to be due to the in-situ generation of H2O2 from ascorbate and O2. The reaction was inhibited by catalase, supporting the role of H2O2 as the active cosubstrate."
